Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
f65d82c5-139a-493d-b83a-5a91270bf9d0,,,Acide Urique,Acide Urique,Acide Urique,Acide Urique,,,LabTest,Text,,,,,,,,,,,
798683e4-9e7b-4fea-9959-c74939d323f3,,,Anthrax Cutané- Skin Test,Anthrax Cutané- Skin Test,Anthrax Cutané- Skin Test,Anthrax Cutané- Skin Test,,,LabTest,Text,,,,,,,,,,,
ed0b3145-be66-44c9-8a2f-6d247ae512bf,,,Anthrax Gastrointestinal- Blood Test or Stool Test ,Anthrax Gastrointestinal- Blood Test or Stool Test ,Anthrax Gastrointestinal- Blood Test or Stool Test ,Anthrax Gastrointestinal- Blood Test or Stool Test ,,,LabTest,Text,,,,,,,,,,,
bdff0480-5ec8-42b9-85b8-46214ab64d41,,,ADT (SGPT),ADT (SGPT),ADT (SGPT),ADT (SGPT),,,LabTest,Text,,,,,,,,,,,
ae6a1b41-e1be-443c-9fca-332f4973811d,,,Albumine,Albumine,Albumine,Albumine,,,LabTest,Text,,,,,,,,,,,
0107f9ee-c316-402b-989c-a893ee87cd5c,,,Amylase,Amylase,Amylase,Amylase,,,LabTest,Text,,,,,,,,,,,
eb9f2211-af08-46c3-b970-5a56c23dd232,,,ASO (Antistreptolysine O),ASO (Antistreptolysine O),ASO (Antistreptolysine O),ASO (Antistreptolysine O),,,LabTest,Text,,,,,,,,,,,
f8abd7c5-ad54-4cba-b5a5-72ecf1a075b2,,,AST (SGOT),AST (SGOT),AST (SGOT),AST (SGOT),,,LabTest,Text,,,,,,,,,,,
df07f646-a77c-4b40-aec8-0c9c9c85fea6,,,Azote de l'Urée (BUN),Azote de l'Urée (BUN),Azote de l'Urée (BUN),Azote de l'Urée (BUN),,,LabTest,Text,,,,,,,,,,,
79c12c7f-117d-4f25-8454-2f10f788e467,,,BHCG,BHCG,BHCG,BHCG,,,LabTest,Text,,,,,,,,,,,
d6f494c5-5e18-4fd2-bb91-2deeda9f0a1e,,,Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),Bilan Hépatique (AST-ALT-TBil-ALKP-LDH),,,LabTest,Text,,,,,,,,,,,
a2b4f320-5abb-4c3f-9e0f-01c3adb6e522,,,Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),Bilan Lipidique (Chol-Trig-HDLC-LDL-VLDL),,,LabTest,Text,,,,,,,,,,,
b0195f0d-aade-4a0f-9d14-aad299cb7678,,,Bilan Pré-Opératoire(Hemogramme-ABO&RB-PT&INR),Bilan Pré-Opératoire(Hemogramme-ABO&RB-PT&INR),Bilan Pré-Opératoire(Hemogramme-ABO&RB-PT&INR),Bilan Pré-Opératoire(Hemogramme-ABO&RB-PT&INR),,,LabTest,Text,,,,,,,,,,,
4ffaade4-ce92-449f-9e22-faaa7c6ecaaa,,,Bilan Renal (BUN-Creat-Urée-Acide Urique),Bilan Renal (BUN-Creat-Urée-Acide Urique),Bilan Renal (BUN-Creat-Urée-Acide Urique),Bilan Renal (BUN-Creat-Urée-Acide Urique),,,LabTest,Text,,,,,,,,,,,
39903f75-4d96-43fa-afa0-c843798d7cec,,,Bilan Thyroïdien,Bilan Thyroïdien,Bilan Thyroïdien,Bilan Thyroïdien,,,LabTest,Text,,,,,,,,,,,
4dbc46d5-1c93-4560-8fb0-26c6a78ab007,,,Bilirubine Totale,Bilirubine Totale,Bilirubine Totale,Bilirubine Totale,,,LabTest,Text,,,,,,,,,,,
cab64983-787a-450a-8a9f-efe0b74127c7,,,Calcium (Ca),Calcium (Ca),Calcium (Ca),Calcium (Ca),,,LabTest,Text,,,,,,,,,,,
a4af663e-9fef-4398-8d4e-77e5ae7d4c99,,,Chimie Sanguine (Glycemie-BUN-Urée-Créatine) ,Chimie Sanguine (Glycemie-BUN-Urée-Créatine) ,Chimie Sanguine (Glycemie-BUN-Urée-Créatine) ,Chimie Sanguine (Glycemie-BUN-Urée-Créatine) ,,,LabTest,Text,,,,,,,,,,,
380e0d5e-7f4c-400b-b42d-328f905a59cb,,,Chlore (Cl),Chlore (Cl),Chlore (Cl),Chlore (Cl),,,LabTest,Text,,,,,,,,,,,
809edde1-b977-44dc-828c-d630c458dcc1,,,Cholesterol,Cholesterol,Cholesterol,Cholesterol,,,LabTest,Text,,,,,,,,,,,
