Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
91145bf9-9290-425b-9e7d-6e5287c60e1f,,,ORL1001 - Adenoidectomie,ORL1001 - Adenoidectomie,Adenoidectomie,Adenoidectomie,,,ENT,Text,,,,,,,,,,,
4c4abf09-347f-4fdf-8752-97c90cf7dfb4,,,ORL1002 - Amygdalectomie,ORL1002 - Amygdalectomie,Amygdalectomie,Amygdalectomie,,,ENT,Text,,,,,,,,,,,
4998be2b-3552-46cc-9d2e-fb393066a354,,,ORL1003 - Biopsie du Cou,ORL1003 - Biopsie du Cou,Biopsie du Cou,Biopsie du Cou,,,ENT,Text,,,,,,,,,,,
0a79aa89-894b-4cc9-afbf-8ce844d49d12,,,ORL1004 - Enlevement de Corps etranger (Oesophage),ORL1004 - Enlevement de Corps etranger (Oesophage),Enlevement de Corps etranger (Oesophage),Enlevement de Corps etranger (Oesophage),,,ENT,Text,,,,,,,,,,,
ac1628ba-c3da-4d38-a879-0dff9f119222,,,ORL1005 - Exerese Adenopathie Cervicale,ORL1005 - Exerese Adenopathie Cervicale,Exerese Adenopathie Cervicale,Exerese Adenopathie Cervicale,,,ENT,Text,,,,,,,,,,,
1aca37db-8590-4708-839c-1c9ba4b8a861,,,ORL1006 - Exerese du Tumeur Maligne du Plancherde la  Cavite Buccale,ORL1006 - Exerese du Tumeur Maligne du Plancherde la  Cavite Buccale,Exerese du Tumeur Maligne du Plancherde la  Cavite Buccale,Exerese du Tumeur Maligne du Plancherde la  Cavite Buccale,,,ENT,Text,,,,,,,,,,,
3e2d3abb-d29e-458e-a31c-bd168cae542f,,,ORL1007 - Exerese Glande Salivaire,ORL1007 - Exerese Glande Salivaire,Exerese Glande Salivaire,Exerese Glande Salivaire,,,ENT,Text,,,,,,,,,,,
f89bb8eb-6482-42a3-81ad-b048311e97f6,,,ORL1008 - Exerese kyste Tyro-Glossale,ORL1008 - Exerese kyste Tyro-Glossale,Exerese kyste Tyro-Glossale,Exerese kyste Tyro-Glossale,,,ENT,Text,,,,,,,,,,,
c7957e42-922e-4583-9840-d459a651a7c9,,,ORL1009 - Exerese Tumeur de la Langue,ORL1009 - Exerese Tumeur de la Langue,Exerese Tumeur de la Langue,Exerese Tumeur de la Langue,,,ENT,Text,,,,,,,,,,,
e40ee03b-1eea-4958-8761-20cb14f24690,,,ORL1010 - Frenelectomy,ORL1010 - Frenelectomy,Frenelectomy,Frenelectomy,,,ENT,Text,,,,,,,,,,,
7306885e-24a3-4d28-a962-7a4fc22f75eb,,,ORL1011 - Hemi-Glossectomie,ORL1011 - Hemi-Glossectomie,Hemi-Glossectomie,Hemi-Glossectomie,,,ENT,Text,,,,,,,,,,,
d84d317f-422b-4776-b224-4afd60d5ead9,,,ORL1012 - Hemi-Mandibulectomie,ORL1012 - Hemi-Mandibulectomie,Hemi-Mandibulectomie,Hemi-Mandibulectomie,,,ENT,Text,,,,,,,,,,,
f7d10649-561b-43a8-a16c-002b4f791b87,,,ORL1013 - Hemi-Maxillectomie,ORL1013 - Hemi-Maxillectomie,Hemi-Maxillectomie,Hemi-Maxillectomie,,,ENT,Text,,,,,,,,,,,
cf7e010b-6720-4a00-bcf1-148b474c1c52,,,ORL1014 - Hydrocephalus,ORL1014 - Hydrocephalus,Hydrocephalus,Hydrocephalus,,,ENT,Text,,,,,,,,,,,
65200181-f1c8-4611-8985-08bb1953f04c,,,ORL1015 - Incision Phlegmon Peri-Amygdalien,ORL1015 - Incision Phlegmon Peri-Amygdalien,Incision Phlegmon Peri-Amygdalien,Incision Phlegmon Peri-Amygdalien,,,ENT,Text,,,,,,,,,,,
059aed15-6f7b-4cb1-98ea-27d1ae0b76e9,,,ORL1016 - Laryngectomie sub-totale,ORL1016 - Laryngectomie sub-totale,Laryngectomie sub-totale,Laryngectomie sub-totale,,,ENT,Text,,,,,,,,,,,
f5d90e48-93b2-4f04-b36f-b6cd831a3ef0,,,ORL1017 - Laryngectomie totale,ORL1017 - Laryngectomie totale,Laryngectomie totale,Laryngectomie totale,,,ENT,Text,,,,,,,,,,,
cafc8449-8642-4cf0-8a64-c27d5f31d435,,,ORL1018 - Laryngoscopie ,ORL1018 - Laryngoscopie ,Laryngoscopie ,Laryngoscopie ,,,ENT,Text,,,,,,,,,,,
adcda841-d277-4f34-b984-445a3d39a0ee,,,ORL1019 - Ligature carotide externe,ORL1019 - Ligature carotide externe,Ligature carotide externe,Ligature carotide externe,,,ENT,Text,,,,,,,,,,,
23adb8fe-6350-4a60-8143-2714d47667f5,,,ORL1020 - Lympanoplastie,ORL1020 - Lympanoplastie,Lympanoplastie,Lympanoplastie,,,ENT,Text,,,,,,,,,,,
003fe7db-fd01-46c7-bcf6-434cbc5290b7,,,ORL1021 - Parotidectomie,ORL1021 - Parotidectomie,Parotidectomie,Parotidectomie,,,ENT,Text,,,,,,,,,,,
d4b9c6eb-3344-4ee3-92f9-e2a1994df860,,,ORL1022 - Polypectomie,ORL1022 - Polypectomie,Polypectomie,Polypectomie,,,ENT,Text,,,,,,,,,,,
9504e39f-f1bd-4c75-b78b-c748204aada7,,,ORL1023 - Reparation de l'Oreille,ORL1023 - Reparation de l'Oreille,Reparation de l'Oreille,Reparation de l'Oreille,,,ENT,Text,,,,,,,,,,,
6e766e67-e6e9-4565-8c3b-7d8f759d3a15,,,ORL1024 - Reparation Plaie de face (grande etendue),ORL1024 - Reparation Plaie de face (grande etendue),Reparation Plaie de face (grande etendue),Reparation Plaie de face (grande etendue),,,ENT,Text,,,,,,,,,,,
d5bb3928-66de-4ad3-ba30-dd3856d5a15f,,,ORL1025 - Reparation Plaie de face (petite etendue),ORL1025 - Reparation Plaie de face (petite etendue),Reparation Plaie de face (petite etendue),Reparation Plaie de face (petite etendue),,,ENT,Text,,,,,,,,,,,
