Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f386c039-1e63-41d5-8453-b9fb93b3afaf,,,CHG1001 - Drainage: Abces de la marge anale ,CHG1001 - Drainage: Abces de la marge anale ,Drainage: Abces de la marge anale ,Drainage: Abces de la marge anale ,,,Surgery,Text,,,,,,,,,,,
d53b66eb-7e4b-4aa8-a1fa-53ee5cbd65bc,,,CHG1002 - Drainage: Abces du Sein,CHG1002 - Drainage: Abces du Sein,Drainage: Abces du Sein,Drainage: Abces du Sein,,,Surgery,Text,,,,,,,,,,,
4b0a8b35-5d2c-4017-92ee-91dbb46a019d,,,CHG1003 - Drainage: Absces du Psoas,CHG1003 - Drainage: Absces du Psoas,Drainage: Absces du Psoas,Drainage: Absces du Psoas,,,Surgery,Text,,,,,,,,,,,
10d5d4eb-3154-4de7-9629-ef7ce88ce3a1,,,CHG1004 - Drainage: Absces intra musculaire,CHG1004 - Drainage: Absces intra musculaire,Drainage: Absces intra musculaire,Drainage: Absces intra musculaire,,,Surgery,Text,,,,,,,,,,,
bb5e671f-f799-4b0b-8936-37f00f4c916e,,,CHG1005 - Drainage: Absces ischion-rectal,CHG1005 - Drainage: Absces ischion-rectal,Drainage: Absces ischion-rectal,Drainage: Absces ischion-rectal,,,Surgery,Text,,,,,,,,,,,
f17137b7-1913-4962-a183-2e0bde556432,,,CHG1006 - Drainage: Absces pilonidal,CHG1006 - Drainage: Absces pilonidal,Drainage: Absces pilonidal,Drainage: Absces pilonidal,,,Surgery,Text,,,,,,,,,,,
219e846c-0d30-4e05-a284-3ec512271c90,,,CHG1007 - Drainage: Absces residuel abdominal,CHG1007 - Drainage: Absces residuel abdominal,Drainage: Absces residuel abdominal,Drainage: Absces residuel abdominal,,,Surgery,Text,,,,,,,,,,,
6f39237a-836c-4a26-acde-ca29f582fec3,,,CHG1008 - Drainage: Absces sous cutané,CHG1008 - Drainage: Absces sous cutané,Drainage: Absces sous cutané,Drainage: Absces sous cutané,,,Surgery,Text,,,,,,,,,,,
a2c28021-43b4-4ae0-a013-38c6fede279a,,,CHG1009 - Anthrax Skin Treatment,CHG1009 - Anthrax Skin Treatment,Anthrax Skin Treatment,Anthrax Skin Treatment,,,Surgery,Text,,,,,,,,,,,
bca52a3c-15d1-4f3f-a342-61f011636440,,,CHG1010 - Lympectomie,CHG1010 - Lympectomie,Lympectomie,Lympectomie,,,Surgery,Text,,,,,,,,,,,
