Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
e8f5a7b8-d4b9-47aa-ad16-ff41a8f87c2c,,,MAT1001 - Anesthésie Generale,MAT1001 - Anesthésie Generale,Anesthésie Generale,Anesthésie Generale,,,Material,Text,,,,,,,,,,,
ded16a66-1be5-45d8-b958-9cc7884d1456,,,MAT1002 - Anesthésie Locale,MAT1002 - Anesthésie Locale,Anesthésie Locale,Anesthésie Locale,,,Material,Text,,,,,,,,,,,
b708885c-fc03-4e55-b117-7426c15f0b47,,,MAT1003 - Anesthésie Rach,MAT1003 - Anesthésie Rach,Anesthésie Rach,Anesthésie Rach,,,Material,Text,,,,,,,,,,,
27a4a88e-7bc1-4568-b00f-bda075bfe406,,,MAT1004 - Kit d'admission,MAT1004 - Kit d'admission,Kit d'admission,Kit d'admission,,,Material,Text,,,,,,,,,,,
8726eae6-650f-43e4-82f4-f3e5c549234b,,,MAT1005 - Diapers-Adultes,MAT1005 - Diapers-Adultes,Diapers-Adultes,Diapers-Adultes,,,Material,Text,,,,,,,,,,,
f4c3683e-6e63-4649-abb4-daf8900dd277,,,MAT1006 - Diapers-Enfants,MAT1006 - Diapers-Enfants,Diapers-Enfants,Diapers-Enfants,,,Material,Text,,,,,,,,,,,
9159e62f-58e3-4cf9-aae4-f6c523cacaae,,,MAT1007 - IV Set,MAT1007 - IV Set,IV Set,IV Set,,,Material,Text,,,,,,,,,,,
aaed7b52-caf3-4b31-bea5-d62562e4d5c7,,,MAT1008 - Masque à Oxygène,MAT1008 - Masque à Oxygène,Masque à Oxygène,Masque à Oxygène,,,Material,Text,,,,,,,,,,,
5306cb9f-f328-4e82-ab16-440d9e2f420f,,,MAT1009 - Masque à respirateur artificiel,MAT1009 - Masque à respirateur artificiel,Masque à respirateur artificiel,Masque à respirateur artificiel,,,Material,Text,,,,,,,,,,,
ccafdff2-c172-4d72-985a-9a3e7514a915,,,MAT1010 - Masque pour nébulisateur,MAT1010 - Masque pour nébulisateur,Masque pour nébulisateur,Masque pour nébulisateur,,,Material,Text,,,,,,,,,,,
b7af5e13-0299-4aae-92ac-c8f6958c8100,,,MAT1011 - Catheter à succion,MAT1011 - Catheter à succion,Catheter à succion,Catheter à succion,,,Material,Text,,,,,,,,,,,
660752af-80e7-496b-ac2f-c833a941e079,,,MAT1012 - Respirateur artificiel/par jour,MAT1012 - Respirateur artificiel/par jour,Respirateur artificiel/par jour,Respirateur artificiel/par jour,,,Material,Text,,,,,,,,,,,
e7261beb-4c4f-4c50-a623-d2fe23deace7,,,MAT1013 - Table chauffante/par jour,MAT1013 - Table chauffante/par jour,Table chauffante/par jour,Table chauffante/par jour,,,Material,Text,,,,,,,,,,,
