Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
00843b8c-d5d9-4944-840b-29e3722fd955,,,OBG1001 - Accouchement simple (suivi à l'HSC),OBG1001 - Accouchement simple (suivi à l'HSC),Accouchement simple (suivi à l'HSC),Accouchement simple (suivi à l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
4db2da0d-7e8a-4574-a591-9e708966275e,,,OBG1002 - Accouchement simple (suivi hors de l'HSC),OBG1002 - Accouchement simple (suivi hors de l'HSC),Accouchement simple (suivi hors de l'HSC),Accouchement simple (suivi hors de l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
39a460e9-2b30-47ba-be3f-ec1a7e4dff26,,,OBG1003 - Accouchement simple + Episio (suivi à l'HSC),OBG1003 - Accouchement simple + Episio (suivi à l'HSC),Accouchement simple + Episio (suivi à l'HSC),Accouchement simple + Episio (suivi à l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
d4bd7c2b-3b80-43e8-8963-c863a09c9d9e,,,OBG1004 - Accouchement simple + Episio (suivi hors de l'HSC),OBG1004 - Accouchement simple + Episio (suivi hors de l'HSC),Accouchement simple + Episio (suivi hors de l'HSC),Accouchement simple + Episio (suivi hors de l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
c9c2baca-06ee-4975-a2bc-f400f99c6ed4,,,OBG1005 - Annexectomie,OBG1005 - Annexectomie,Annexectomie,Annexectomie,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
af2dbc02-6e0f-4552-a64f-50aeafc0ff53,,,OBG1006 - Biopsie cervicale,OBG1006 - Biopsie cervicale,Biopsie cervicale,Biopsie cervicale,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
badfcdc6-3993-4d0a-af97-5c01d380bad9,,,OBG1007 - Biopsie endometriale,OBG1007 - Biopsie endometriale,Biopsie endometriale,Biopsie endometriale,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
f643eccf-d435-4db6-a35d-85cc4d749657,,,OBG1008 - Cerclage,OBG1008 - Cerclage,Cerclage,Cerclage,,,Obstetrics and Gynecology,Text,,,,,,,,,,,
f16675de-d6bb-4fd1-914c-a25d8cf59465,,,OBG1009 - Césarienne (suivi à l'HSC),OBG1009 - Césarienne (suivi à l'HSC),Césarienne (suivi à l'HSC),Césarienne (suivi à l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
c2510453-994d-4a49-9016-a77e883382c0,,,OBG1010 - Césarienne (suivi hors de l'HSC),OBG1010 - Césarienne (suivi hors de l'HSC),Césarienne (suivi hors de l'HSC),Césarienne (suivi hors de l'HSC),,,Obstetrics and Gynecology,Text,,,,,,,,,,,
