Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
db7b612c-c689-4ca8-9b9d-a7ad42aa34d6,,,ORT1001 - Allongement de membre inférieur ,ORT1001 - Allongement de membre inférieur ,Allongement de membre inférieur ,Allongement de membre inférieur ,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
5cc5389e-21cf-4c28-a9ed-90f05eb3d492,,,ORT1002 - Allongement tendineux,ORT1002 - Allongement tendineux,Allongement tendineux,Allongement tendineux,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
ff6d5d11-68ca-4356-ad2f-faf5ce557db3,,,ORT1003 - AMO sur demande du patient (Broche),ORT1003 - AMO sur demande du patient (Broche),AMO sur demande du patient (Broche),AMO sur demande du patient (Broche),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
f04bed11-b0ad-46dd-a213-d1ca2e20bff7,,,ORT1004 - AMO sur demande du patient (ECM),ORT1004 - AMO sur demande du patient (ECM),AMO sur demande du patient (ECM),AMO sur demande du patient (ECM),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
865c1b92-1110-430e-a85e-3429b28c6468,,,ORT1005 - AMO sur Fd d'infection (1ère intervention  à l'HSC),ORT1005 - AMO sur Fd d'infection (1ère intervention  à l'HSC),AMO sur Fd d'infection (1ère intervention  à l'HSC),AMO sur Fd d'infection (1ère intervention  à l'HSC),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
13b39504-0db9-4104-b172-d798a669e27f,,,ORT1006 - AMO sur Fd d'infection (1ère intervention hors de l'HSC),ORT1006 - AMO sur Fd d'infection (1ère intervention hors de l'HSC),AMO sur Fd d'infection (1ère intervention hors de l'HSC),AMO sur Fd d'infection (1ère intervention hors de l'HSC),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
c592737f-137b-4756-841c-cca46ae7db37,,,ORT1007 - Amputation Avant-bras,ORT1007 - Amputation Avant-bras,Amputation Avant-bras,Amputation Avant-bras,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
c58f088a-8d79-465f-99ff-dcb00a94461c,,,ORT1008 - Amputation bras,ORT1008 - Amputation bras,Amputation bras,Amputation bras,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
9fa3cc4b-bd5d-4c14-85ac-c498e7c6919b,,,ORT1009 - Amputation Doigts ,ORT1009 - Amputation Doigts ,Amputation Doigts ,Amputation Doigts ,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a7c5a6d2-5025-4d6a-a6d0-b3b6cec31bee,,,ORT1010 - Amputation du pied (lis franc),ORT1010 - Amputation du pied (lis franc),Amputation du pied (lis franc),Amputation du pied (lis franc),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
b31fc48c-4d5c-4652-824c-d232ff51173d,,,ORT1011 - Amputation orteil,ORT1011 - Amputation orteil,Amputation orteil,Amputation orteil,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
9709edfa-6ea0-4095-b6d1-ba25061d9c99,,,ORT1012 - Amputation Phalange,ORT1012 - Amputation Phalange,Amputation Phalange,Amputation Phalange,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
9cf555af-1c4d-43cc-8a58-ee4d5e1ad903,,,ORT1013 - Amputation trans huméral,ORT1013 - Amputation trans huméral,Amputation trans huméral,Amputation trans huméral,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
50ce8472-5619-4224-8abe-520e98af6334,,,ORT1014 - Amputation trans radio-ulnaire. ,ORT1014 - Amputation trans radio-ulnaire. ,Amputation trans radio-ulnaire. ,Amputation trans radio-ulnaire. ,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
d1f55018-108e-41e8-86b2-bedb4dd9fd52,,,ORT1015 - Amputation trans tibial,ORT1015 - Amputation trans tibial,Amputation trans tibial,Amputation trans tibial,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
621bd79b-c7de-49b8-88b9-179d2b3ee325,,,ORT1016 - Amputation transfémoral,ORT1016 - Amputation transfémoral,Amputation transfémoral,Amputation transfémoral,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a5c5839f-1777-455a-897b-7ec7589e9c23,,,ORT1017 - Amputation transmetatarsienne,ORT1017 - Amputation transmetatarsienne,Amputation transmetatarsienne,Amputation transmetatarsienne,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
78407553-0ac5-4772-af53-04e740377276,,,ORT1018 - Arthrodèse de la cheville,ORT1018 - Arthrodèse de la cheville,Arthrodèse de la cheville,Arthrodèse de la cheville,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
4f6a6da0-e088-47a7-8096-b32be8829c78,,,ORT1019 - Arthrodèse du coude,ORT1019 - Arthrodèse du coude,Arthrodèse du coude,Arthrodèse du coude,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
ac3201dc-75ff-4649-9905-06223fa0105b,,,ORT1020 - Arthrodèse du genou,ORT1020 - Arthrodèse du genou,Arthrodèse du genou,Arthrodèse du genou,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
355d8854-5e0c-4369-9733-acfd8f086562,,,ORT1021 - Arthrodèse du poignet,ORT1021 - Arthrodèse du poignet,Arthrodèse du poignet,Arthrodèse du poignet,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
2f07bbe3-7b29-4e42-8db0-cee395a0fd7a,,,ORT1022 - Arthrolyse de l'épaule (fermée),ORT1022 - Arthrolyse de l'épaule (fermée),Arthrolyse de l'épaule (fermée),Arthrolyse de l'épaule (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a1b63454-f89d-48cb-906f-e9f3ccb769b9,,,ORT1023 - Arthrolyse de l'épaule (ouverte),ORT1023 - Arthrolyse de l'épaule (ouverte),Arthrolyse de l'épaule (ouverte),Arthrolyse de l'épaule (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
a26071c3-e16a-47ee-8763-acdcd1b9c778,,,ORT1024 - Arthrolyse du coude (fermée),ORT1024 - Arthrolyse du coude (fermée),Arthrolyse du coude (fermée),Arthrolyse du coude (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
3515ed20-4c7d-4c88-a804-7aa340c97c7c,,,ORT1025 - Arthrolyse du coude (ouverte),ORT1025 - Arthrolyse du coude (ouverte),Arthrolyse du coude (ouverte),Arthrolyse du coude (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
d13fde4a-7765-484f-8c51-245978246f41,,,ORT1026 - Arthrolyse du Genou (fermée),ORT1026 - Arthrolyse du Genou (fermée),Arthrolyse du Genou (fermée),Arthrolyse du Genou (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
39c313c8-ee84-4188-977a-bf10e808f453,,,ORT1027 - Arthrolyse du Genou (ouverte),ORT1027 - Arthrolyse du Genou (ouverte),Arthrolyse du Genou (ouverte),Arthrolyse du Genou (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
ee745c56-8864-4a01-8ed2-3cce18fde3cf,,,ORT1028 - Arthrolyse du poignet (fermée),ORT1028 - Arthrolyse du poignet (fermée),Arthrolyse du poignet (fermée),Arthrolyse du poignet (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
7f21d6b3-c34e-40a8-ab81-8edeecb1b5d8,,,ORT1029 - Arthrolyse du poignet (ouverte),ORT1029 - Arthrolyse du poignet (ouverte),Arthrolyse du poignet (ouverte),Arthrolyse du poignet (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
05f95dd0-2083-4c1d-83e6-e69b60bd17e6,,,ORT1030 - Arthrolyse inter-phalangienne distale (fermée),ORT1030 - Arthrolyse inter-phalangienne distale (fermée),Arthrolyse inter-phalangienne distale (fermée),Arthrolyse inter-phalangienne distale (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
bc784dce-ff17-4d34-a4f5-99f730426d1b,,,ORT1031 - Arthrolyse inter-phalangienne distale (ouverte),ORT1031 - Arthrolyse inter-phalangienne distale (ouverte),Arthrolyse inter-phalangienne distale (ouverte),Arthrolyse inter-phalangienne distale (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
655f0503-8768-450f-9017-831402795a2f,,,ORT1032 - Arthrolyse inter-phalangienne proximale (fermée),ORT1032 - Arthrolyse inter-phalangienne proximale (fermée),Arthrolyse inter-phalangienne proximale (fermée),Arthrolyse inter-phalangienne proximale (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
d30d3bdd-9087-4fce-af9e-645b7f239644,,,ORT1033 - Arthrolyse inter-phalangienne proximale (ouverte),ORT1033 - Arthrolyse inter-phalangienne proximale (ouverte),Arthrolyse inter-phalangienne proximale (ouverte),Arthrolyse inter-phalangienne proximale (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
99fb30bb-332a-4c31-8ee4-b8299c0d6685,,,ORT1034 - Arthrolyse Métacarpo-phalangienne (fermée),ORT1034 - Arthrolyse Métacarpo-phalangienne (fermée),Arthrolyse Métacarpo-phalangienne (fermée),Arthrolyse Métacarpo-phalangienne (fermée),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
2003f9f0-101e-4bf3-b84d-2436997f00ff,,,ORT1035 - Arthrolyse Métacarpo-phalangienne (ouverte),ORT1035 - Arthrolyse Métacarpo-phalangienne (ouverte),Arthrolyse Métacarpo-phalangienne (ouverte),Arthrolyse Métacarpo-phalangienne (ouverte),,,Orthopedics and Traumatology,Text,,,,,,,,,,,
e081e43a-e7e5-4dfe-a33b-ef9c32863edc,,,ORT1036 - Arthroplastie de Hanche,ORT1036 - Arthroplastie de Hanche,Arthroplastie de Hanche,Arthroplastie de Hanche,,,Orthopedics and Traumatology,Text,,,,,,,,,,,
