Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f156a9dd-04ec-4adf-bf95-aafb41f99553,,,CHP1001 - Bec de lièvre Réparation,CHP1001 - Bec de lièvre Réparation,Bec de lièvre Réparation,Bec de lièvre Réparation,,,Surgery,Text,,,,,,,,,,,
c22a1b2f-9b64-467e-ac59-70289c051b9b,,,CHP1002 - Chéloide Multiple,CHP1002 - Chéloide Multiple,Chéloide Multiple,Chéloide Multiple,,,Surgery,Text,,,,,,,,,,,
4cadce42-1fa0-4fd8-b509-b950608ad321,,,CHP1003 - Excision Chéloide +Réparation esthetique,CHP1003 - Excision Chéloide +Réparation esthetique,Excision Chéloide +Réparation esthetique,Excision Chéloide +Réparation esthetique,,,Surgery,Text,,,,,,,,,,,
f44915a3-2d86-4b2f-9102-bc27240a7205,,,CHP1004 - Fissure palatine Réparation,CHP1004 - Fissure palatine Réparation,Fissure palatine Réparation,Fissure palatine Réparation,,,Surgery,Text,,,,,,,,,,,
fcbb67da-b7fb-4ab8-8625-cbfd72c0733d,,,CHP1005 - Hémangiome fesse ou Neuro-fibromateux fesse,CHP1005 - Hémangiome fesse ou Neuro-fibromateux fesse,Hémangiome fesse ou Neuro-fibromateux fesse,Hémangiome fesse ou Neuro-fibromateux fesse,,,Surgery,Text,,,,,,,,,,,
e14fc32d-2ef5-4f11-b11a-184b5f6ba86b,,,CHP1006 - Plastique Vaginale,CHP1006 - Plastique Vaginale,Plastique Vaginale,Plastique Vaginale,,,Surgery,Text,,,,,,,,,,,
7b705c57-7b02-4fe4-807e-1c30f8553f5e,,,CHP1007 - Reconstruction Abdomen,CHP1007 - Reconstruction Abdomen,Reconstruction Abdomen,Reconstruction Abdomen,,,Surgery,Text,,,,,,,,,,,
0f2e001a-d3e2-4c9b-999d-69fffd65ab08,,,CHP1008 - Reconstruction Cou,CHP1008 - Reconstruction Cou,Reconstruction Cou,Reconstruction Cou,,,Surgery,Text,,,,,,,,,,,
0b6017db-f223-4df1-8dba-e7210722147f,,,CHP1009 - Reconstruction Cuisse,CHP1009 - Reconstruction Cuisse,Reconstruction Cuisse,Reconstruction Cuisse,,,Surgery,Text,,,,,,,,,,,
181c48c0-93b4-4f64-a6d5-adbed8036eee,,,CHP1010 - Reconstruction Dos,CHP1010 - Reconstruction Dos,Reconstruction Dos,Reconstruction Dos,,,Surgery,Text,,,,,,,,,,,
5e59ea40-8067-4378-9bc4-f226022527d4,,,CHP1011 - Reconstruction Face,CHP1011 - Reconstruction Face,Reconstruction Face,Reconstruction Face,,,Surgery,Text,,,,,,,,,,,
167e44d1-3106-4a7c-ab86-078b552e87ee,,,CHP1012 - Reconstruction Pied,CHP1012 - Reconstruction Pied,Reconstruction Pied,Reconstruction Pied,,,Surgery,Text,,,,,,,,,,,
49c5ebfe-36b4-4a73-b74d-3ef92229abc4,,,CHP1013 - Reconstruction Tendon d'Achille,CHP1013 - Reconstruction Tendon d'Achille,Reconstruction Tendon d'Achille,Reconstruction Tendon d'Achille,,,Surgery,Text,,,,,,,,,,,
22422729-5e21-475e-866e-8ceb14f25056,,,CHP1014 - Reconstruction Thorax,CHP1014 - Reconstruction Thorax,Reconstruction Thorax,Reconstruction Thorax,,,Surgery,Text,,,,,,,,,,,
ee3d3e37-9dfb-44c5-81a9-edbee7124b78,,,CHP1015 - Réduction Mammaire,CHP1015 - Réduction Mammaire,Réduction Mammaire,Réduction Mammaire,,,Surgery,Text,,,,,,,,,,,
8ae61306-969e-40af-acd6-2b75973e8ed6,,,CHP1016 - Skin Graft,CHP1016 - Skin Graft,Skin Graft,Skin Graft,,,Surgery,Text,,,,,,,,,,,
