Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
153ee42a-fe4b-401d-bf82-9b3c804cee73,,,PRO1001 - Ablation des Agraffes,PRO1001 - Ablation des Agraffes,Ablation des Agraffes,Ablation des Agraffes,,,Procedure,Text,,,,,,,,,,,
0b9bb49c-f7e8-4f3b-b486-05242ea3536d,,,PRO1002 - Ablation des fils de suture,PRO1002 - Ablation des fils de suture,Ablation des fils de suture,Ablation des fils de suture,,,Procedure,Text,,,,,,,,,,,
7bc5d407-ed86-40f6-9331-55fabdd65f4e,,,PRO1003 - Alèze,PRO1003 - Alèze,Alèze,Alèze,,,Procedure,Text,,,,,,,,,,,
111f4479-469c-41a0-a1d5-78093745f2ae,,,PRO1004 - Canule Nasale,PRO1004 - Canule Nasale,Canule Nasale,Canule Nasale,,,Procedure,Text,,,,,,,,,,,
cffb0001-a257-4484-8449-948e56a003fe,,,PRO1005 - Cathetérisme ombilicale,PRO1005 - Cathetérisme ombilicale,Cathetérisme ombilicale,Cathetérisme ombilicale,,,Procedure,Text,,,,,,,,,,,
d766dd3e-3048-4f70-9fd0-893350b6cbcc,,,PRO1006 - Cathetérisme vesical continu,PRO1006 - Cathetérisme vesical continu,Cathetérisme vesical continu,Cathetérisme vesical continu,,,Procedure,Text,,,,,,,,,,,
68729c37-cfc3-4e31-986d-1711f9432c42,,,PRO1007 - Cathetérisme vesical intermitent,PRO1007 - Cathetérisme vesical intermitent,Cathetérisme vesical intermitent,Cathetérisme vesical intermitent,,,Procedure,Text,,,,,,,,,,,
f6a0837d-1571-4dc5-8a7a-68a51d5c32fb,,,PRO1008 - CPAP/par jour,PRO1008 - CPAP/par jour,CPAP/par jour,CPAP/par jour,,,Procedure,Text,,,,,,,,,,,
cc9f9672-acd1-4c98-a518-758994f9971a,,,PRO1009 - Cystoscopie,PRO1009 - Cystoscopie,Cystoscopie,Cystoscopie,,,Procedure,Text,,,,,,,,,,,
a1343653-83dc-4ed1-9051-e329d3bd3bd7,,,PRO1010 - Gaz sanguin,PRO1010 - Gaz sanguin,Gaz sanguin,Gaz sanguin,,,Procedure,Text,,,,,,,,,,,
567da8ae-f107-49bb-b21e-b254c69b9674,,,PRO1011 - Incubateur/par jour,PRO1011 - Incubateur/par jour,Incubateur/par jour,Incubateur/par jour,,,Procedure,Text,,,,,,,,,,,
f4a7a3fb-d656-4faf-a6f4-9fcba7e36543,,,PRO1012 - Infiltration De Cortisone (médicament compris),PRO1012 - Infiltration De Cortisone (médicament compris),Infiltration De Cortisone (médicament compris),Infiltration De Cortisone (médicament compris),,,Procedure,Text,,,,,,,,,,,
368cf4ee-0116-4388-9ad4-bffc5291b559,,,PRO1013 - Insertion tube de levine,PRO1013 - Insertion tube de levine,Insertion tube de levine,Insertion tube de levine,,,Procedure,Text,,,,,,,,,,,
70de9662-5984-4edf-9d98-80d4a64f1a10,,,PRO1014 - Insertion voie veineuse centrale,PRO1014 - Insertion voie veineuse centrale,Insertion voie veineuse centrale,Insertion voie veineuse centrale,,,Procedure,Text,,,,,,,,,,,
052472f4-b7f1-491c-b282-a20e79df120e,,,PRO1015 - Lavage Vésical,PRO1015 - Lavage Vésical,Lavage Vésical,Lavage Vésical,,,Procedure,Text,,,,,,,,,,,
d06dd294-e93c-4a57-9f94-fd93df2d4564,,,PRO1016 - Manipulation,PRO1016 - Manipulation,Manipulation,Manipulation,,,Procedure,Text,,,,,,,,,,,
88683d0b-f01b-48c8-a5b0-4f6187d6ecdf,,,PRO1017 - Nébulisation,PRO1017 - Nébulisation,Nébulisation,Nébulisation,,,Procedure,Text,,,,,,,,,,,
2eb57104-bac3-46fd-9197-a2b27c0015dd,,,PRO1018 - Paracenthèse,PRO1018 - Paracenthèse,Paracenthèse,Paracenthèse,,,Procedure,Text,,,,,,,,,,,
93975bc8-2449-4b21-af04-d38a06bee2d4,,,PRO1019 - Photothérapie/par jour,PRO1019 - Photothérapie/par jour,Photothérapie/par jour,Photothérapie/par jour,,,Procedure,Text,,,,,,,,,,,
a595a893-4a93-4d42-bac9-6dc16bb19e2b,,,PRO1020 - Physiothérapie,PRO1020 - Physiothérapie,Physiothérapie,Physiothérapie,,,Procedure,Text,,,,,,,,,,,
ec2dc1e3-af09-4268-aeea-d0a920143e7a,,,PRO1021 - Ponction Lombaire,PRO1021 - Ponction Lombaire,Ponction Lombaire,Ponction Lombaire,,,Procedure,Text,,,,,,,,,,,
be0a9e97-3eae-48b1-b310-aa8f798e8d9e,,,PRO1022 - Pose d'atelle court/membres inférieurs  ,PRO1022 - Pose d'atelle court/membres inférieurs  ,Pose d'atelle court/membres inférieurs  ,Pose d'atelle court/membres inférieurs  ,,,Procedure,Text,,,,,,,,,,,
d0fe01a2-e2a5-43ce-ae67-f1ffabd2dbbd,,,PRO1023 - Pose d'atelle court/membres Supérieurs  ,PRO1023 - Pose d'atelle court/membres Supérieurs  ,Pose d'atelle court/membres Supérieurs  ,Pose d'atelle court/membres Supérieurs  ,,,Procedure,Text,,,,,,,,,,,
2586f3aa-ca6a-4af4-91e5-cbab048b4ab5,,,PRO1024 - Pose d'atelle long/membres inférieurs ,PRO1024 - Pose d'atelle long/membres inférieurs ,Pose d'atelle long/membres inférieurs ,Pose d'atelle long/membres inférieurs ,,,Procedure,Text,,,,,,,,,,,
3c08c97e-9ef4-4e4c-b0f8-74bcca96688e,,,PRO1025 - Pose d'atelle long/membres Supérieurs ,PRO1025 - Pose d'atelle long/membres Supérieurs ,Pose d'atelle long/membres Supérieurs ,Pose d'atelle long/membres Supérieurs ,,,Procedure,Text,,,,,,,,,,,
e2ea323c-8be0-4742-896f-86189061449c,,,PRO1026 - Pose de platre court/membres inférieurs,PRO1026 - Pose de platre court/membres inférieurs,Pose de platre court/membres inférieurs,Pose de platre court/membres inférieurs,,,Procedure,Text,,,,,,,,,,,
e509807d-33e0-4320-9f99-08e3282cfd7b,,,PRO1027 - Pose de platre court/membres supérieurs,PRO1027 - Pose de platre court/membres supérieurs,Pose de platre court/membres supérieurs,Pose de platre court/membres supérieurs,,,Procedure,Text,,,,,,,,,,,
c496ca66-1ab3-47bd-b6e5-7f060e7fb343,,,PRO1028 - Pose de platre long/membres inférieurs,PRO1028 - Pose de platre long/membres inférieurs,Pose de platre long/membres inférieurs,Pose de platre long/membres inférieurs,,,Procedure,Text,,,,,,,,,,,
226a758f-2f73-4ed5-b8be-20483ac6a67f,,,PRO1029 - Pose de platre long/membres supérieurs,PRO1029 - Pose de platre long/membres supérieurs,Pose de platre long/membres supérieurs,Pose de platre long/membres supérieurs,,,Procedure,Text,,,,,,,,,,,
5b1775cc-c4d7-4f3a-bc4a-796efc276d36,,,PRO1030 - Prélèvement Pap test,PRO1030 - Prélèvement Pap test,Prélèvement Pap test,Prélèvement Pap test,,,Procedure,Text,,,,,,,,,,,
21154452-18e8-43d4-be7b-f64ce379d939,,,PRO1031 - Ramonage des selles,PRO1031 - Ramonage des selles,Ramonage des selles,Ramonage des selles,,,Procedure,Text,,,,,,,,,,,
a2e096a3-6b15-432b-bc3f-4d98a231e3fc,,,PRO1032 - Thoracenthese,PRO1032 - Thoracenthese,Thoracenthese,Thoracenthese,,,Procedure,Text,,,,,,,,,,,
893aede2-6073-4295-b248-87499bad873a,,,PRO1033 - Traction de Burck,PRO1033 - Traction de Burck,Traction de Burck,Traction de Burck,,,Procedure,Text,,,,,,,,,,,
531edc62-eee0-4647-9887-9cf06109c3e7,,,PRO1034 - Voie Centrale,PRO1034 - Voie Centrale,Voie Centrale,Voie Centrale,,,Procedure,Text,,,,,,,,,,,
