Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
8e951835-a64d-4639-a9f3-b3f12a398047,,,2 View Abdomen,2 View Abdomen,2 View Abdomen,2 View Abdomen,,,Radiology,Text,,,,,,,,,,,
3373dc3c-c7db-4ceb-980c-765f92e85c43,,,2 View Chest,2 View Chest,2 View Chest,2 View Chest,,,Radiology,Text,,,,,,,,,,,
d6a9aa22-f74d-49dd-aa17-bfdc8eff1352,,,Abdomen,Abdomen,Abdomen,Abdomen,,,Radiology,Text,,,,,,,,,,,
a2797459-1a1b-4077-9a6c-7fb60b3ff3f4,,,ASP,ASP,ASP,ASP,,,Radiology,Text,,,,,,,,,,,
cf4634b1-f8e9-40e8-9a49-764a4b6f6676,,,Avant Bras,Avant Bras,Avant Bras,Avant Bras,,,Radiology,Text,,,,,,,,,,,
9d67fa5b-2542-4fd5-bae4-fc1492aa02ae,,,Bassin,Bassin,Bassin,Bassin,,,Radiology,Text,,,,,,,,,,,
15370e47-f58f-42b1-9b35-2fdc288ed1dc,,,Bras,Bras,Bras,Bras,,,Radiology,Text,,,,,,,,,,,
c7ac37f0-46b4-439a-b8a5-fa89aca67902,,,Cheville,Cheville,Cheville,Cheville,,,Radiology,Text,,,,,,,,,,,
d3bd752d-86b9-46c2-bf23-1a7071a69ea1,,,Clavicule,Clavicule,Clavicule,Clavicule,,,Radiology,Text,,,,,,,,,,,
838aa5c7-e589-444a-b3c6-b4c9ad5f9117,,,Colonne Cervicale,Colonne Cervicale,Colonne Cervicale,Colonne Cervicale,,,Radiology,Text,,,,,,,,,,,
bb309696-687a-45a1-964d-bf4dd83d2cb0,,,Colonne Dorsale,Colonne Dorsale,Colonne Dorsale,Colonne Dorsale,,,Radiology,Text,,,,,,,,,,,
fb074eab-ce2c-477a-8194-3d9a3075e1c8,,,Colonne Lombaire,Colonne Lombaire,Colonne Lombaire,Colonne Lombaire,,,Radiology,Text,,,,,,,,,,,
31227b54-791a-4942-a4fb-18eec7b84caf,,,Colonne Lombo Sacrée,Colonne Lombo Sacrée,Colonne Lombo Sacrée,Colonne Lombo Sacrée,,,Radiology,Text,,,,,,,,,,,
7b7a73f7-15bb-40ff-bff9-64a1ecf324be,,,Coude du Bras,Coude du Bras,Coude du Bras,Coude du Bras,,,Radiology,Text,,,,,,,,,,,
b41c90d9-8901-454a-9f1b-239d4c6010bb,,,Crane,Crane,Crane,Crane,,,Radiology,Text,,,,,,,,,,,
cc7ee3ba-8386-4f29-ac9e-d50e91603382,,,Cuisse,Cuisse,Cuisse,Cuisse,,,Radiology,Text,,,,,,,,,,,
dfbd2dce-02b8-4954-88b2-5de248e4587d,,,ECG,ECG,ECG,ECG,,,Radiology,Text,,,,,,,,,,,
6e0faed3-e29c-4e39-8b20-e3331e22c0a5,,,ECG-Electrocardiographie,ECG-Electrocardiographie,ECG-Electrocardiographie,ECG-Electrocardiographie,,,Radiology,Text,,,,,,,,,,,
4d1e3ad4-a5bb-4abd-b7b5-36a47cd59658,,,Echocardiographie,Echocardiographie,Echocardiographie,Echocardiographie,,,Radiology,Text,,,,,,,,,,,
0b15b116-0709-4c70-aca6-e7b64a7d9b79,,,Echo-Stresse/Stress Test,Echo-Stresse/Stress Test,Echo-Stresse/Stress Test,Echo-Stresse/Stress Test,,,Radiology,Text,,,,,,,,,,,
b45815fe-97a2-4b74-bb70-18fccf46577e,,,Holter Test/ECG-24 heures,Holter Test/ECG-24 heures,Holter Test/ECG-24 heures,Holter Test/ECG-24 heures,,,Radiology,Text,,,,,,,,,,,
c95e3b1f-e4b6-42da-98d5-9f11763db05c,,,Echo Doppler Arterielle,Echo Doppler Arterielle,Echo Doppler Arterielle,Echo Doppler Arterielle,,,Radiology,Text,,,,,,,,,,,
9d8ac3c7-4ca3-4493-9adf-429955d4f2d0,,,Echo Doppler Scrotale,Echo Doppler Scrotale,Echo Doppler Scrotale,Echo Doppler Scrotale,,,Radiology,Text,,,,,,,,,,,
86d68691-5711-491a-9172-fd0816de4880,,,Echo Doppler Véneuse,Echo Doppler Véneuse,Echo Doppler Véneuse,Echo Doppler Véneuse,,,Radiology,Text,,,,,,,,,,,
85ed2353-5379-45be-ac27-ac7b82e74c0a,,,Endoscopie Digestive,Endoscopie Digestive,Endoscopie Digestive,Endoscopie Digestive,,,Radiology,Text,,,,,,,,,,,
d107afc9-6a61-401a-9574-daadb7a8020c,,,Epaule,Epaule,Epaule,Epaule,,,Radiology,Text,,,,,,,,,,,
f77e9735-6cea-4760-9ced-f76dc664bbc7,,,Fémur,Fémur,Fémur,Fémur,,,Radiology,Text,,,,,,,,,,,
9477ff2e-02dd-4203-9ace-8fc38c3d3692,,,Finger (3 Views),Finger (3 Views),Finger (3 Views),Finger (3 Views),,,Radiology,Text,,,,,,,,,,,
c266ac5a-a019-41fe-89b8-c9b0d8b1530f,,,Genou,Genou,Genou,Genou,,,Radiology,Text,,,,,,,,,,,
6d393221-a82a-4674-b9be-73224eb98867,,,Hanche,Hanche,Hanche,Hanche,,,Radiology,Text,,,,,,,,,,,
dd4b4f82-5f07-4fb2-8ee7-2602d413cefc,,,Hand (3 Views),Hand (3 Views),Hand (3 Views),Hand (3 Views),,,Radiology,Text,,,,,,,,,,,
4f851123-73d9-4dfc-90e2-5b49fd558c6b,,,Jambe,Jambe,Jambe,Jambe,,,Radiology,Text,,,,,,,,,,,
b8ce2e8b-0d20-4664-90b2-ee60ed164983,,,Pied,Pied,Pied,Pied,,,Radiology,Text,,,,,,,,,,,
e389bcbb-807c-483d-9191-d39fc9de10d6,,,Poignet,Poignet,Poignet,Poignet,,,Radiology,Text,,,,,,,,,,,
c654e09e-62d2-4754-9a0c-62d5d7240164,,,Sinus,Sinus,Sinus,Sinus,,,Radiology,Text,,,,,,,,,,,
9212685d-a475-45ce-9aa1-2d95c6c11fed,,,Sonographie Abdominale,Sonographie Abdominale,Sonographie Abdominale,Sonographie Abdominale,,,Radiology,Text,,,,,,,,,,,
6e3d4a12-333b-4bab-b08a-3ae35c528aee,,,Sonographie Abdomino-Pelvienne,Sonographie Abdomino-Pelvienne,Sonographie Abdomino-Pelvienne,Sonographie Abdomino-Pelvienne,,,Radiology,Text,,,,,,,,,,,
b3a57d08-e986-4dc5-8de1-8c329cd0ad39,,,Sonographie de la Carotide,Sonographie de la Carotide,Sonographie de la Carotide,Sonographie de la Carotide,,,Radiology,Text,,,,,,,,,,,
a35e3227-cd58-48b7-b023-4c9a5bc54587,,,Sonographie de la Thyroïde,Sonographie de la Thyroïde,Sonographie de la Thyroïde,Sonographie de la Thyroïde,,,Radiology,Text,,,,,,,,,,,
4a0812b2-eb70-4ece-a11c-2e289ecb7db0,,,Sonographie Foetale Biophysicale Profile,Sonographie Foetale Biophysicale Profile,Sonographie Foetale Biophysicale Profile,Sonographie Foetale Biophysicale Profile,,,Radiology,Text,,,,,,,,,,,
d60eb339-2d75-4fb7-b64b-8f1969ad5c4c,,,Sonographie Gynécologique ou Pelvienne,Sonographie Gynécologique ou Pelvienne,Sonographie Gynécologique ou Pelvienne,Sonographie Gynécologique ou Pelvienne,,,Radiology,Text,,,,,,,,,,,
acd32f87-e994-4e16-b4fb-ec31c2d37622,,,Sonographie Mammaire 1 sein,Sonographie Mammaire 1 sein,Sonographie Mammaire 1 sein,Sonographie Mammaire 1 sein,,,Radiology,Text,,,,,,,,,,,
45b32878-6869-445c-900b-f237dbf50060,,,Sonographie Mammaire 2 seins,Sonographie Mammaire 2 seins,Sonographie Mammaire 2 seins,Sonographie Mammaire 2 seins,,,Radiology,Text,,,,,,,,,,,
fe238ad9-4008-46b8-9254-6a3ad68d483b,,,Sonographie Obstétricale,Sonographie Obstétricale,Sonographie Obstétricale,Sonographie Obstétricale,,,Radiology,Text,,,,,,,,,,,
f50c9e0d-4deb-4e91-a3ce-30f49a407000,,,Sonographie Renale,Sonographie Renale,Sonographie Renale,Sonographie Renale,,,Radiology,Text,,,,,,,,,,,
d83efa3d-0d52-40e3-88f5-ecdd4d2162e0,,,Thorax,Thorax,Thorax,Thorax,,,Radiology,Text,,,,,,,,,,,
