Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f10975f6-620f-4039-aa72-2beb2fd074d4,,,PAN2001 - Brûlure < 10% avec anesthésie,PAN2001 - Brûlure < 10% avec anesthésie,Brûlure < 10% avec anesthésie,Brûlure < 10% avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
0d208252-d0e7-44cc-8e83-3341cc0a1556,,,PAN2002 - Brûlure < 10%.  Premier Pansement avec anesthésie,PAN2002 - Brûlure < 10%.  Premier Pansement avec anesthésie,Brûlure < 10%.  Premier Pansement avec anesthésie,Brûlure < 10%.  Premier Pansement avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
39338fc9-567c-4ffa-b9d1-df9176a053c4,,,PAN2003 - Brûlure entre < 20%. Premier Pansement avec anesthésie,PAN2003 - Brûlure entre < 20%. Premier Pansement avec anesthésie,Brûlure entre < 20%. Premier Pansement avec anesthésie,Brûlure entre < 20%. Premier Pansement avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
820ba128-70b7-49af-9e70-1128f49dae57,,,PAN2004 - Brulure entre >50%   avec anesthésie,PAN2004 - Brulure entre >50%   avec anesthésie,Brulure entre >50%   avec anesthésie,Brulure entre >50%   avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
43e41e53-4d13-4464-aeb6-fe11e4b58144,,,PAN2005 - Brulure entre >50%  1er pansement avec anesthésie,PAN2005 - Brulure entre >50%  1er pansement avec anesthésie,Brulure entre >50%  1er pansement avec anesthésie,Brulure entre >50%  1er pansement avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
617d1146-2453-44e2-8b6d-224a0958bc50,,,PAN2006 - Brûlure entre 10 et 20% Premier Pansement  avec anesthésie,PAN2006 - Brûlure entre 10 et 20% Premier Pansement  avec anesthésie,Brûlure entre 10 et 20% Premier Pansement  avec anesthésie,Brûlure entre 10 et 20% Premier Pansement  avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
34dd06d2-de44-47e5-b8cc-9f9b3340e0f7,,,PAN2007 - Brulure entre 20 à 50%   avec anesthésie,PAN2007 - Brulure entre 20 à 50%   avec anesthésie,Brulure entre 20 à 50%   avec anesthésie,Brulure entre 20 à 50%   avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
9dcc0c19-18ac-4cd9-ba25-f611d37861b2,,,PAN2008 - Brulure entre 20 à 50% 1er pansement avec anesthésie,PAN2008 - Brulure entre 20 à 50% 1er pansement avec anesthésie,Brulure entre 20 à 50% 1er pansement avec anesthésie,Brulure entre 20 à 50% 1er pansement avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
1f0104f6-c44a-4842-a338-f039f21753f9,,,PAN2009 - Débridement Brulure >50% avec anesthésie,PAN2009 - Débridement Brulure >50% avec anesthésie,Débridement Brulure >50% avec anesthésie,Débridement Brulure >50% avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
60a92016-3a2c-419d-ae29-5b7fd6d45fb7,,,PAN2010 - Débridement Brulure entre 20 à 50% avec anesthésie,PAN2010 - Débridement Brulure entre 20 à 50% avec anesthésie,Débridement Brulure entre 20 à 50% avec anesthésie,Débridement Brulure entre 20 à 50% avec anesthésie,,,Wound Dressing,Text,,,,,,,,,,,
